name,type,star_rating,review_sum,address,contact,url,create_time
새로오픈,다운타우너 광화문,정보 없음,206,서울 중구 세종대로 136 SFC몰 B1층 다운타우너 광화문,0507-1480-7292,https://pcmap.place.naver.com/restaurant/1232696474/home?entry=bmp&from=map&fromPanelNum=2&x=126.97827010000006&y=37.56842460000003&timestamp=202309071750,2023-09-07 17:49:45
새로오픈,더 멜란지,정보 없음,411,서울 종로구 돈화문로 60 1층,0507-1442-7844,https://pcmap.place.naver.com/restaurant/1250488411/home?entry=bmp&from=map&fromPanelNum=2&x=126.9913906&y=37.5738701&timestamp=202309071751,2023-09-07 17:49:45
순대실록 대학로본점,"순대,순댓국",4.45,정보 없음,서울 종로구 동숭길 127 우성빌딩,0507-1407-5338,https://pcmap.place.naver.com/restaurant/20148711/home?entry=bmp&from=map&fromPanelNum=2&x=127.003022462663&y=37.5832808139434&timestamp=202309071751,2023-09-07 17:49:45
온천집,샤브샤브,4.36,정보 없음,서울 종로구 돈화문로11나길 31-8,0507-1378-8218,https://pcmap.place.naver.com/restaurant/1113085292/home?entry=bmp&from=map&fromPanelNum=2&x=126.98980578898276&y=37.5740315119577&timestamp=202309071751,2023-09-07 17:49:45
간판없는가게,양식,4.47,정보 없음,서울 종로구 돈화문로11다길 36 1층 간판없는가게,0507-1427-1042,https://pcmap.place.naver.com/restaurant/268542013/home?entry=bmp&from=map&fromPanelNum=2&x=126.9902802&y=37.5738066&timestamp=202309071751,2023-09-07 17:49:45
새로오픈,웜비어위캔드,정보 없음,91,서울 중구 청계천로 184 2층,0507-1488-0392,https://pcmap.place.naver.com/restaurant/1489017764/home?entry=bmp&from=map&fromPanelNum=2&x=126.9981855&y=37.5686381&timestamp=202309071751,2023-09-07 17:49:45
새로오픈,카린지린가네스낵바 광화문점,정보 없음,776,서울 종로구 종로5길 32-3 1층,0507-1490-8821,https://pcmap.place.naver.com/restaurant/1256953387/home?entry=bmp&from=map&fromPanelNum=2&x=126.9807512&y=37.5718671&timestamp=202309071751,2023-09-07 17:49:45
익선정육,"육류,고기요리",정보 없음,799,서울 종로구 돈화문로11다길 9 1층,0507-1479-3427,https://pcmap.place.naver.com/restaurant/1574607459/home?entry=bmp&from=map&fromPanelNum=2&x=126.9905559&y=37.5728986&timestamp=202309071751,2023-09-07 17:49:45
최대감네,한식,4.31,정보 없음,서울 종로구 인사동8길 12-3,0507-1401-9355,https://pcmap.place.naver.com/restaurant/19882235/home?entry=bmp&from=map&fromPanelNum=2&x=126.986124&y=37.574075&timestamp=202309071751,2023-09-07 17:49:45
새로오픈,핵밥 대학로점,정보 없음,563,서울 종로구 대학로9길 22,0507-1498-0739,https://pcmap.place.naver.com/restaurant/1811034860/home?entry=bmp&from=map&fromPanelNum=2&x=127.00073690000004&y=37.581731300000015&timestamp=202309071751,2023-09-07 17:49:45
호선생전,요리주점,정보 없음,896,서울 종로구 종로32길 15 1층 호선생전,0507-1342-2207,https://pcmap.place.naver.com/restaurant/1244702491/home?entry=bmp&from=map&fromPanelNum=2&x=127.0011766&y=37.5702235009121&timestamp=202309071751,2023-09-07 17:49:45
