name,address_si,address_gu,address_lo,address_detail,period_start,period_end,url,created_at
［파주］ 헤이리예술마을 〈빈센트 반 고흐 : 향기를 만나다〉,정보 없음,정보 없음,정보 없음,주식회사빅포미디어,2023-03-09,2023-09-30,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23003389,2023-08-17 15:19:53.443750
"［HYBE INSIGHT］The Daydream Believers : 꿈, 마침내",정보 없음,정보 없음,정보 없음,리드빌딩,2023-06-09,2023-08-27,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23006600,2023-08-17 15:19:53.530960
1101 어린이라운지 이용권,정보 없음,정보 없음,정보 없음,예술의전당 1101 어린이라운지,2020-01-11,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=19018891,2023-08-17 15:19:53.618690
2002 한일 월드컵 20주년 기념 특별전,서울,마포구,월드컵로,240 풋볼 팬타지움 (2002 FIFA 월드컵 기념관),2022-06-01,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22006119,2023-08-17 15:19:53.701441
2023 라움 아트 페스티벌,충남,아산시,어의정로,117 라움아트센터,2023-08-23,2023-09-21,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23011675,2023-08-17 15:19:53.786475
2023 아시아프＆히든아티스트 페스티벌,정보 없음,정보 없음,정보 없음,서울 홍익대학교 현대미술관(홍문관),2023-07-25,2023-08-20,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009123,2023-08-17 15:19:53.876750
2023 오토살롱위크 입장권,정보 없음,정보 없음,정보 없음,"킨텍스 제2전시장 7,8홀",2023-09-08,2023-09-10,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009144,2023-08-17 15:19:53.964623
"거장의 시선, 사람을 향하다 - 영국 내셔널갤러리 명화전",서울,용산구,서빙고로,137 국립중앙박물관 기획전시실,2023-06-02,2023-10-09,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23006752,2023-08-17 15:19:54.049390
경복궁의 인문학산책,서울,종로구,자하문로,82 경복궁,2018-06-23,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18008401,2023-08-17 15:19:54.135659
고양이를 그린 화가 〈루이스 웨인展〉,정보 없음,정보 없음,정보 없음,"강동아트센터 아트랑 SPACE1,2",2023-06-13,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23005949,2023-08-17 15:19:54.228400
"국가대표궁궐, 경복궁",서울,종로구,자하문로,82 경복궁,2020-04-10,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=20003418,2023-08-17 15:19:54.310475
국립 고궁박물관 인문학산책,서울,종로구,효자로,12 고궁박물관,2022-12-16,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22017409,2023-08-17 15:19:54.393497
"궁궐야행, 덕수궁",서울,중구,세종대로,99 덕수궁,2018-03-17,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18003771,2023-08-17 15:19:54.516257
"궁궐야행, 창경궁",서울,종로구,성균관로3길,23 창경궁,2019-01-25,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=19000923,2023-08-17 15:19:54.605875
"낙산, 이화마을 야행",정보 없음,정보 없음,정보 없음,낙산공원,2018-07-20,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18009373,2023-08-17 15:19:54.688847
다시 보다 : 한국근현대미술전,정보 없음,정보 없음,정보 없음,소마미술관 1관,2023-07-01,2023-08-27,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23008717,2023-08-17 15:19:54.811154
더현대서울 프랑스국립현대미술관전 : 라울 뒤피,정보 없음,정보 없음,정보 없음,더현대서울 6층 ALT.1,2023-05-17,2023-09-06,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23006569,2023-08-17 15:19:54.900284
덕수궁의 인문학산책,서울,중구,세종대로,99 덕수궁,2018-09-01,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=18011706,2023-08-17 15:19:54.983787
마리오폰테의 트웰브,서울,종로구,경희궁1길,1 광화문 투바앤웨이븐,2023-02-11,2023-09-17,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23001775,2023-08-17 15:19:55.069202
맥스달튼 전시전 EP.2 영화의 순간들,서울,영등포구,63로,50 아쿠아플라넷 63,2023-07-01,2023-09-30,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=Y3000812,2023-08-17 15:19:55.152767
모네 인사이드,서울,중구,남대문로,73 그라운드시소 명동,2023-08-01,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010472,2023-08-17 15:19:55.250711
문도 멘도: 판타스틱 시티 라이프,서울,종로구,자하문로6길,18-8 그라운드시소 서촌,2023-06-30,2023-12-03,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23006683,2023-08-17 15:19:55.342842
미구엘 슈발리에 디지털 뷰티 시즌2,정보 없음,정보 없음,정보 없음,아라아트센터 지하 1층,2023-08-01,2024-02-12,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010660,2023-08-17 15:19:55.428557
백남준 X 베르나르 뷔페 : 히스토릭 메모리,정보 없음,정보 없음,정보 없음,스타트플러스 부산,2023-07-06,2023-09-03,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009104,2023-08-17 15:19:55.510280
백희나 그림책전,서울,서초구,남부순환로,2406 예술의전당 한가람디자인미술관,2023-06-22,2023-10-08,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23006033,2023-08-17 15:19:55.597653
북파크 라운지,서울,용산구,이태원로,294 블루스퀘어,2019-12-03,2023-09-30,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=19018168,2023-08-17 15:19:55.684659
빅토리아 티렉스 (VICTORIA T-REX),정보 없음,정보 없음,정보 없음,롯데백화점 김포공항점 1층 그랜드홀,2022-04-22,2023-09-30,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22004749,2023-08-17 15:19:55.769212
"색色, 마음의 색을 찾아가는 여정",정보 없음,정보 없음,정보 없음,미디어 아트 갤러리 언더독뮤지엄,2023-03-30,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23004771,2023-08-17 15:19:55.849672
"서울스카이 기획전 〈SUPER EXCITING, SUPERRACE〉 8월",서울,강서구,화곡로63길,65 서울스카이,2023-08-01,2023-08-27,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=Y3001045,2023-08-17 15:19:55.950017
선릉 인문학산책,서울,강남구,테헤란로,337 선릉,2019-01-08,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=19000210,2023-08-17 15:19:56.031789
"세계문화유산, 창덕궁",서울,종로구,율곡로,102 창덕궁 돈화문,2021-02-05,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=21000481,2023-08-17 15:19:56.114582
손철주의 ‘오래된 그림공부’,정보 없음,정보 없음,정보 없음,JCC크리에이티브센터 스튜디오,2023-10-04,2023-10-04,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009899,2023-08-17 15:19:56.197486
손철주의 ＇오래된 그림공부＇,정보 없음,정보 없음,정보 없음,JCC크리에이티브센터 스튜디오,2023-09-06,2023-09-06,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009049,2023-08-17 15:19:56.277434
숭고 SUBLIME,정보 없음,정보 없음,정보 없음,뮤지엄웨이브,2023-06-17,2023-08-29,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23008420,2023-08-17 15:19:56.356554
스니커즈 언박스드 서울,서울,종로구,세종대로,175 세종문화회관 미술관,2023-05-31,2023-09-10,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23007289,2023-08-17 15:19:56.443087
스폰지밥의 우당탕탕 시간여행展,정보 없음,정보 없음,정보 없음,용산아이파크몰 6F 대원뮤지엄,2023-08-12,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23011353,2023-08-17 15:19:56.529330
